Дата;Клиент;ID клиента;Кампания;ID кампании;Запись;ID записи;Потрачено, руб.;Выполненные заявки;Переходы по ссылкам; Вступления; Охват; Охват подписчиков;Отметки «Нравится»;Поделилось;Комментарии
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.1_k1 group_49;4693223;428;1;1;0;1673;1283;2;1;1
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.3_k3 group_58;4746971;600;1;6;0;15509;15509;7;0;1
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.3_k3 group_72;4784523;600;1;7;0;4119;4044;25;0;1
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.3_k3 group_89;4746984;1388;1;0;0;2635;2606;4;0;0
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.3_k3 group_43;4746939;685;1;2;0;2517;2293;0;0;0
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.3_k3 group_20;4746932;634;1;1;0;4635;4634;1;0;0
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t1.3_k3 group_73;4746978;360;1;2;0;3654;3433;13;0;3
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t3.1_k5 group_46;4746964;377;1;9;0;4236;3923;4;0;1
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Сонрайтинг;1319795;t3.1_k5 group_42;4758751;1200;1;0;0;3161;3062;2;0;0
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Открытый урок;1326682;t6.3_k31 group_62;4708272;1714;1;3;0;12503;12311;4;0;4
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Открытый урок;1326682;t6.3_k31 group_54;4708133;1431;1;6;0;10125;9612;8;0;0
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Открытый урок;1326682;t3.1_k11 group_91;4723520;445;1;4;0;2209;2112;30;0;1
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Открытый урок;1326682;t3.1_k11 group_87;4723504;857;1;5;0;12405;11780;3;0;5
2023-12-01;857-69 ЮЛ Show Class Маркет Orange;2003666397;Открытый урок;1326682;t6.3_k31 group_67;4708279;257;1;2;0;1049;975;12;0;0
